id,date_publication,titre,entreprise,ville,type_contrat,secteur,niveau_requis,competences,salaire,teletravail,experience_requise_ans,mois,trimestre,categorie,est_stage
1,2024-05-23,Stagiaire ML,Dataiku,Lille,CDI,LegalTech,Bac+5,"Computer Vision, Power BI, Deep Learning, Docker, Spark, AWS, GCP",64280.0,Non,5,2024-05,2024Q2,Stage,False
2,2023-08-27,Stagiaire Data Science,Payfit,Paris,CDI,LegalTech,Bac+5,"Machine Learning, Deep Learning, NLP, Hugging Face, LLM, Python",37323.0,Hybride,0,2023-08,2023Q3,Stage,False
3,2023-07-13,AI Researcher,PhotoRoom,Lyon,Stage,HealthTech,Bac+8 (PhD),"Python, Hugging Face, dbt, Spark, RAG, Power BI",612.0,Hybride,1,2023-07,2023Q3,Recherche IA,True
4,2023-11-18,Data Analyst,Dataiku,Paris,CDD,DeepTech,Bac+4,"LLM, Computer Vision, Git, API REST, Python, Tableau, NLP",42273.0,Non,1,2023-11,2023Q4,Data Analysis,False
5,2023-11-03,Stagiaire ML,Hugging Face,Paris,CDI,MarTech,Bac+4,"dbt, Machine Learning, Spark",52278.0,Oui,0,2023-11,2023Q4,Stage,False
6,2023-10-23,Business Intelligence Analyst,Shift Technology,Paris,Stage,HealthTech,Bac+5,"Kubernetes, Azure, PyTorch, AWS, Scikit-learn, NLP, GCP",775.0,Hybride,2,2023-10,2023Q4,Data Analysis,True
7,2023-09-10,Data Scientist,Alan,Toulouse,CDI,E-commerce,Bac+5,"Pandas, SQL, Kubernetes, Docker, Computer Vision",42987.0,Non,1,2023-09,2023Q3,Data Science,False
8,2023-08-22,Data Scientist,BlaBlaCar,Paris,Stage,EdTech,Bac+4,"Docker, dbt, API REST, SQL",965.0,Oui,1,2023-08,2023Q3,Data Science,True
9,2024-06-11,NLP Engineer,Qonto,Lille,CDI,MarTech,Bac+5,"Git, Scikit-learn, Tableau, Kubernetes, PyTorch, NLP",73625.0,Hybride,1,2024-06,2024Q2,Data Engineering,False
10,2024-04-05,Data Analyst,BlaBlaCar,Paris,CDI,HealthTech,Bac+5,"Machine Learning, Power BI, Hugging Face, PyTorch, LLM, Docker",62369.0,Oui,1,2024-04,2024Q2,Data Analysis,False
11,2023-08-14,Stagiaire Data Analyst,PhotoRoom,Paris,CDI,SaaS,Bac+8 (PhD),"Docker, Scikit-learn, Hugging Face, GCP, Power BI",36376.0,Non,2,2023-08,2023Q3,Data Analysis,False
12,2024-04-28,Data Scientist,Owkin,Lyon,CDI,DeepTech,Bac+5,"Hugging Face, Power BI, Airflow, Azure, SQL",47468.0,Non,3,2024-04,2024Q2,Data Science,False
13,2024-02-02,Stagiaire ML,Swile,Paris,Stage,FinTech,Bac+5,"Python, TensorFlow, Hugging Face, AWS",1182.0,Oui,0,2024-02,2024Q1,Stage,True
14,2023-07-17,Data Engineer,Shift Technology,Grenoble,Freelance,SaaS,Bac+8 (PhD),"dbt, Tableau, RAG, SQL, Hugging Face",639.0,Non,1,2023-07,2023Q3,Data Engineering,False
15,2023-07-16,Computer Vision Engineer,Doctolib,Paris,CDI,DeepTech,Bac+4,"RAG, TensorFlow, Computer Vision",36809.0,Non,5,2023-07,2023Q3,Data Engineering,False
16,2023-08-17,AI Researcher,Qonto,Paris,CDI,E-commerce,Bac+5,"Deep Learning, Python, Git, PyTorch",84006.0,Non,3,2023-08,2023Q3,Recherche IA,False
17,2023-10-20,Data Analyst,Mirakl,Paris,CDI,EdTech,Bac+5,"API REST, Airflow, GCP, Scikit-learn, Pandas",40637.0,Hybride,2,2023-10,2023Q4,Data Analysis,False
18,2023-10-28,Data Engineer,PhotoRoom,Rennes,CDI,SaaS,Bac+4,"TensorFlow, Machine Learning, Scikit-learn",65890.0,Oui,5,2023-10,2023Q4,Data Engineering,False
19,2024-03-15,Business Intelligence Analyst,PhotoRoom,Toulouse,CDI,MarTech,Bac+5,"GCP, Machine Learning, LLM, Docker, PyTorch",63274.0,Hybride,0,2024-03,2024Q1,Data Analysis,False
20,2024-05-04,Data Analyst,Doctolib,Paris,Stage,E-commerce,Bac+4,"TensorFlow, Spark, NLP, Python",815.0,Hybride,1,2024-05,2024Q2,Data Analysis,True
21,2023-07-14,Computer Vision Engineer,Payfit,Lyon,CDD,DeepTech,Bac+3,"TensorFlow, Hugging Face, Machine Learning, GCP, Docker, Tableau, NLP",48236.0,Non,3,2023-07,2023Q3,Data Engineering,False
22,2024-04-13,Data Analyst,Swile,Paris,CDI,E-commerce,Bac+5,"Kubernetes, Azure, Machine Learning, Scikit-learn",64184.0,Non,0,2024-04,2024Q2,Data Analysis,False
23,2023-10-10,MLOps Engineer,Shift Technology,Paris,CDD,EdTech,Bac+5,"PyTorch, TensorFlow, Power BI, Computer Vision, SQL, Deep Learning, AWS",39784.0,Oui,0,2023-10,2023Q4,ML Engineering,False
24,2024-05-28,Business Intelligence Analyst,Kayrros,Paris,Stage,LegalTech,Bac+5,"dbt, Computer Vision, Docker, Machine Learning",1063.0,Hybride,3,2024-05,2024Q2,Data Analysis,True
25,2024-06-24,AI Researcher,Owkin,Paris,CDI,E-commerce,Bac+4,"Azure, Docker, Hugging Face, LLM",55890.0,Hybride,0,2024-06,2024Q2,Recherche IA,False
26,2024-04-05,Stagiaire Data Science,Dataiku,Lyon,CDI,FinTech,Bac+5,"TensorFlow, PyTorch, AWS, Hugging Face, GCP, Kubernetes, RAG",47574.0,Oui,0,2024-04,2024Q2,Stage,False
27,2024-01-31,Stagiaire Data Analyst,Qonto,Paris,Freelance,E-commerce,Bac+5,"Airflow, Azure, Pandas, RAG, Power BI, Hugging Face, Python",564.0,Non,5,2024-01,2024Q1,Data Analysis,False
28,2023-10-21,AI Researcher,Dataiku,Paris,CDI,RetailTech,Bac+4,"Spark, AWS, Tableau, Docker, Scikit-learn, Machine Learning",65141.0,Non,2,2023-10,2023Q4,Recherche IA,False
29,2024-02-15,Computer Vision Engineer,Doctolib,Toulouse,Freelance,DeepTech,Bac+5,"Pandas, Kubernetes, Hugging Face, TensorFlow, Git, Azure",653.0,Oui,1,2024-02,2024Q1,Data Engineering,False
30,2024-04-27,MLOps Engineer,Younited,Paris,Stage,RetailTech,Bac+5,"Deep Learning, Kubernetes, Spark, Scikit-learn, API REST, Airflow, AWS",1136.0,Oui,0,2024-04,2024Q2,ML Engineering,True
31,2023-11-20,AI Researcher,BlaBlaCar,Grenoble,Stage,LegalTech,Bac+4,"Hugging Face, Power BI, Spark, PyTorch, Kubernetes, RAG",791.0,Oui,2,2023-11,2023Q4,Recherche IA,True
32,2023-07-04,MLOps Engineer,Payfit,Paris,CDI,SaaS,Bac+5,"NLP, Docker, API REST, Python, Machine Learning, Tableau",67721.0,Oui,0,2023-07,2023Q3,ML Engineering,False
33,2023-09-20,Stagiaire Data Science,Qonto,Paris,CDI,EdTech,Bac+4,"SQL, Docker, NLP, Hugging Face, Azure",51696.0,Hybride,0,2023-09,2023Q3,Stage,False
34,2024-06-22,Data Analyst,Alan,Paris,CDI,FinTech,Bac+4,"TensorFlow, Airflow, dbt, Tableau, GCP, SQL",72716.0,Hybride,3,2024-06,2024Q2,Data Analysis,False
